"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Reels Skip Rate","Crossposted Reels Views","Facebook Reels Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Video View Time (Seconds)","Poll Votes","Tags"
"6/30/2026 6:20 pm","2072097851744965100","X","Post","Photo","'@TheFundChicago"," ","https://twitter.com/TheFundChicago/status/2072097851744965100","June marks Immigrant Heritage Month, and we honor school leaders like Principal Graves at Jordan Community School, where more than 60% of the 484 students are English language learners.

Heritage is honored by treating a family's culture as something to build around https://t.co/rmhmQ0XqhY","https://x.com/TheFundChicago/status/2072097851744965100/photo/1","36","36","","","","3,043","11.11%","4","1","1","","","","","","","0","0","","","","0","0","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Optimal Time, Optimal Time X"
"6/30/2026 4:40 pm","171215529722880_1022724466976322","Facebook","Post","Photo","The Chicago Public Education Fund"," ","https://www.facebook.com/256370493611727/posts/1022724466976322","June marks Immigrant Heritage Month.

At Jordan Community School in Rogers Park, more than 60% of the 484 students are English language learners. Families come from dozens of countries and speak more than 30 languages.

For many families, everything about this country is brand new, including the worry of whether a school will truly accept them for who they are. Belonging isn't just a buzzword; it's an action, visible in the quiet, everyday choices a school makes behind the scenes.

When a student shared that her family assumed the school would not decorate for Ramadan, Principal Chris Graves did not just say yes. He asked the students to teach him how.

""I wouldn't know how to decorate, so I need you to teach me,” Principal Graves said.

This inclusive approach became an annual tradition, with the holiday calendar now mapped out together.

The commitment to inclusion extends throughout the building. When Principal Graves noticed Muslim families were receiving limited meal options at school events, he ensured halal options were available at every gathering so no family would ever have to eat separately from the rest. As more Swahili-speaking students enrolled, a Swahili language program followed. And as the student body grew more diverse, a former storage room was transformed into a library stocked so that every student can find characters who look like them.

Heritage is not only honored in celebration. It is honored when a leader treats a family's culture as something to build around, not work around.

We honor school leaders like Principal Graves, whose curiosity and inclusivity inspire a sense of true belonging in their communities.","https://www.facebook.com/256370493611727/posts/1022724466976322","246","246","0","165","0","","8.54%","21","2","1","","1","0","0","0","0","0","0","","","","19","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Optimal Time, Optimal Time FB"
"6/30/2026 2:51 pm","7477805556049543168","LinkedIn","Post","Photo","The Chicago Public Education Fund"," ","https://linkedin.com/feed/update/urn:li:ugcPost:7477805556049543168","June marks Immigrant Heritage Month.

At Jordan Community School in Rogers Park, more than 60% of the 484 students are English language learners. Families come from dozens of countries and speak more than 30 languages.

For many families, everything about this country is brand new, including the worry of whether a school will truly accept them for who they are. Belonging isn't just a buzzword; it's an action, visible in the quiet, everyday choices a school makes behind the scenes.

When a student shared that her family assumed the school would not decorate for Ramadan, Dr. Christopher Graves, Ed. D., CSBO did not just say yes. He asked the students to teach him how.

""I wouldn't know how to decorate, so I need you to teach me,” Principal Graves said.

This inclusive approach became an annual tradition, with the holiday calendar now mapped out together.

The commitment to inclusion extends throughout the building. When Principal Graves noticed Muslim families were receiving limited meal options at school events, he ensured halal options were available at every gathering so no family would ever have to eat separately from the rest. As more Swahili-speaking students enrolled, a Swahili language program followed. And as the student body grew more diverse, a former storage room was transformed into a library stocked so that every student can find characters who look like them.

Heritage is not only honored in celebration. It is honored when a leader treats a family's culture as something to build around, not work around.

We honor school leaders like Principal Graves, whose curiosity and inclusivity inspire a sense of true belonging in their communities.",,"114","114","","","","","27.19%","31","6","6","","","","","","","0","2","","23","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Optimal Time, Optimal Time LI"
"6/30/2026 9:12 am","2071960132770988111","X","'@Reply","Text","'@TheFundChicago"," ","https://twitter.com/TheFundChicago/status/2071960132770988111","Dr. Pusatcioglu’s progress is a reminder that effective leadership is not about having all the answers. It is about creating the space, systems, and discipline to keep learning.",,"11","11","","","","3,043","0%","0","0","0","","","","","","","0","0","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Non-Optimal TIme"
"6/30/2026 9:12 am","2071960090324697174","X","'@Reply","Text","'@TheFundChicago"," ","https://twitter.com/TheFundChicago/status/2071960090324697174","Cultivate data showed a 7-point increase in students reporting clarity about their learning and an 11-point increase in teachers connecting content to real-life experiences

Attendance has remained strong, with chronic absenteeism declining from 53.3% in 2022 to 34.6% in 2025",,"3","3","","","","3,043","0%","0","0","0","","","","","","","0","0","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Non-Optimal TIme"
"6/30/2026 9:12 am","2071959943444332640","X","'@Reply","Text","'@TheFundChicago"," ","https://twitter.com/TheFundChicago/status/2071959943444332640","That leadership is reflected in the school's progress. Five Essentials data show gains of more than 10 points in both Supportive Environment and Ambitious Instruction, including a 15-point increase in peer support for academic work.",,"9","9","","","","3,043","0%","0","0","0","","","","","","","0","0","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Non-Optimal TIme"
"6/30/2026 9:11 am","2071959885911142891","X","'@Reply","Text","'@TheFundChicago"," ","https://twitter.com/TheFundChicago/status/2071959885911142891","Dr. Pusatcioglu listened to staff feedback and responded with intentional shifts, helping build trust, clarity, and support. Her leadership has been crucial in helping students, families, and staff navigate challenges created by federal immigration enforcement",,"7","7","","","","3,043","14.29%","1","1","1","","","","","","","0","0","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Non-Optimal TIme"
"6/29/2026 6:07 pm","171215529722880_1021657053749730","Facebook","Post","Photo","The Chicago Public Education Fund"," ","https://www.facebook.com/256370493611727/posts/1021657053749730","Each week, we lift up a Malott Educator Fellow who is making a meaningful difference for students.

This week, we’re proud to spotlight Heather Pusatcioglu, principal at Piccolo Elementary Specialty School and a member of our 2025–26 Malott Educator Fellowship cohort.

Throughout the year, Dr. Pusatcioglu listened closely to staff feedback and responded with intentional adjustments, helping build trust, clarity, and support across the school community. Her leadership has been especially important as students, families, and staff navigate ongoing challenges created by federal immigration enforcement.

That leadership is reflected in the school's progress. Five Essentials data show gains of more than 10 points in both Supportive Environment and Ambitious Instruction, including a 15-point increase in peer support for academic work. Cultivate data also showed a seven-point increase in students reporting clarity about their learning and an 11-point increase in teachers connecting content to real-life experiences.

Attendance has remained strong as well, with chronic absenteeism declining from 53.3% in 2022 to 34.6% in 2025.

Dr. Pusatcioglu’s progress is a reminder that effective leadership is not about having all the answers. It is about creating the space, systems, and discipline to keep learning.","https://www.facebook.com/photo.php?fbid=1021655993749836&set=a.254107080504735&type=3","1,099","1,099","0","798","0","","3.09%","34","9","3","","6","0","0","0","0","1","0","","","","24","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Optimal Time, Optimal Time FB"
"6/29/2026 1:41 pm","2071665251230024042","X","Post","Photo","'@TheFundChicago"," ","https://twitter.com/TheFundChicago/status/2071665251230024042","Each week, we lift up a Malott Educator Fellow who is making a meaningful difference for students.

This week, we’re proud to spotlight Heather Pusatcioglu, principal at Piccolo Elementary Specialty School and a member of our 2025–26 Malott Educator Fellowship cohort! https://t.co/KN1nPeSgTP","https://x.com/TheFundChicago/status/2071665251230024042/photo/1","98","98","","","","3,043","10.2%","10","1","1","","","","","","","4","0","","","","0","0","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Optimal Time, Optimal Time X"
"6/29/2026 1:16 pm","7477424739880292352","LinkedIn","Post","Photo","The Chicago Public Education Fund"," ","https://linkedin.com/feed/update/urn:li:share:7477424739880292352","Each week, we lift up a Malott Educator Fellow who is making a meaningful difference for students.

This week, we’re proud to spotlight Heather Buford Pusatcioglu, Ed.D., principal at Piccolo Elementary Specialty School and a member of our 2025–26 Malott Educator Fellowship cohort.

Throughout the year, Dr. Pusatcioglu listened closely to staff feedback and responded with intentional adjustments, helping build trust, clarity, and support across the school community. Her leadership has been especially important as students, families, and staff navigate ongoing challenges created by federal immigration enforcement.

That leadership is reflected in the school's progress. Five Essentials data show gains of more than 10 points in both Supportive Environment and Ambitious Instruction, including a 15-point increase in peer support for academic work. Cultivate data also showed a seven-point increase in students reporting clarity about their learning and an 11-point increase in teachers connecting content to real-life experiences.

Attendance has remained strong as well, with chronic absenteeism declining from 53.3% in 2022 to 34.6% in 2025.

Dr. Pusatcioglu’s progress is a reminder that effective leadership is not about having all the answers. It is about creating the space, systems, and discipline to keep learning.",,"475","475","","","","","5.68%","27","15","15","","","","","","","0","3","","9","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Non-Optimal TIme"
