"Date","Post ID","Network","Post Type","Content Type","Profile","Link","Post","Linked Content","Public Engagements","Reactions","Comments","Shares"
"8/31/2026 6:53 pm","222712320927404_122310146516216507","Facebook","Post","Link","The Urban Center","https://www.facebook.com/122209075502216507/posts/122310146516216507","Illinois’ $768 million Meta settlement should help children and families harmed by social media addiction, not another bailout for Chicago Public Schools’ recurring deficits.
One-time money cannot fix years of unsustainable budgeting. Springfield should keep these funds focused on their intended purpose, while CPS and CTU confront the district’s fiscal reality. #CTU #CommonSense #Meta #Chicago
Read more:

","https://www.chicagotribune.com/2026/08/31/ctu-ift-meta-stacy-davis-gates-jb-pritzker-lawsuit/","0","0","0","0"
"8/31/2026 2:37 pm","196842483717237_1607902784686265","Facebook","Post","Photo","Communities In Schools of Chicago","https://www.facebook.com/681023914040828/posts/1607902784686265","From decorating the hallways and creating comfortable student spaces to participating in back-to-school bashes, our team members are active, engaged members in their school communities.

Here are some photos from back-to-school festivities at one of our West Side schools, where Ms. Meredith Awalt serves as Student Supports Manager:","https://www.facebook.com/681023914040828/posts/1607902784686265","0","0","0","0"
"8/31/2026 1:31 pm","221488995515_1750552830406823","Facebook","Post","Photo","Advance Illinois","https://www.facebook.com/414749720653814/posts/1750552830406823","We're hiring! Advance Illinois is looking for a Director of Development to join our team. We’re seeking a strategic thinker committed to strengthening public education statewide and growing our impact. Please share with your networks and apply today: https://hubs.la/Q04v-bbD0

#JobOpportunity #development #hiring #Illinois #education
#fundraising","https://www.facebook.com/photo.php?fbid=1750552773740162&set=a.414661447329308&type=3","0","0","0","0"
"8/31/2026 1:07 pm","713783478485460_122186997380926733","Facebook","Post","Link","Chicago Education Alliance","https://www.facebook.com/122160216644926733/posts/122186997380926733","CEA is hiring an inaugural Director of Policy! We’re looking for a seasoned policy leader to help shape and advance a student-centered policy agenda for Chicago. This leader will turn research and community priorities into action, build alignment across a diverse education ecosystem, and represent CEA in critical policy conversations across the city and state. 

If you’re a strategic thinker, coalition builder, and policy expert committed to expanding opportunity for Chicago students—especially those furthest from opportunity—we’d love to hear from you. 

Learn more: https://www.chicagoeducationalliance.org/joinourteam

#ChicagoEducation #EducationPolicy #EducationEquity #hiring","https://www.chicagoeducationalliance.org/joinourteam","0","0","0","0"
"8/31/2026 11:41 am","9961411679_1507101878116295","Facebook","Post","Link","City Year","https://www.facebook.com/642274284599063/posts/1507101878116295","Ready to serve? Here are 5 things every future City Year AmeriCorps member should know, from benefits and support to professional development. #AmeriCorps #Education #studentsuccess

Read more here: https://bit.ly/3VCur2a","https://www.cityyear.org/national/stories/benefits-resources/five-things-you-should-know-before-applying/","1","1","0","0"
"8/31/2026 9:45 am","232693460103788_1509327847892507","Facebook","Post","Photo","A Better Chicago","https://www.facebook.com/324620916363212/posts/1509327847892507","Last month,  Braven, an A Better Chicago portfolio organization, participated at UNCF’s UNITE 2026 conference in Atlanta.

Their founder and CEO Aimée Eubanks Davis joined national leaders in education and economic mobility to discuss how HBCUs and employers can build stronger pathways.

We’re proud to support their work alongside higher education institutions, employers and communities to expand those pathways for the next generation.","https://www.facebook.com/324620916363212/posts/1509327847892507","2","1","0","1"
"8/31/2026 9:00 am","2094424982751178877","X","Post","Photo","_abetterchicago","https://twitter.com/_abetterchicago/status/2094424982751178877","Last month, @BeBraven participated at the UNITE conference. CEO Aimée Eubanks Davis joined leaders in education and economic mobility to discuss how HBCUs and employers can build stronger pathways. We’re proud to support them in expanding opportunities for the next generation. https://t.co/54EfCIwXbX","","0","0","0","0"
"8/28/2026 5:00 pm","133607023351110_1526767159480556","Facebook","Post","Link","Stand for Children Illinois","https://www.facebook.com/557328906424391/posts/1526767159480556","We know the #FederalScholarshipTaxCredit program wasn't made with educational equity in mind, but we can design a system that can! 🎓✨

Read the latest Chalkbeat Chicago article to hear from education advocates who believe this could benefit public school students: ","https://www.chalkbeat.org/chicago/2026/08/27/chicago-education-advocates-call-on-pritzker-to-opt-into-federal-tax-credit-scholarship-program/","2","1","1","0"
"8/28/2026 2:07 pm","100765022373940_1042628695064565","Facebook","Post","Video","Hope Chicago","https://www.facebook.com/reel/1136199462200007/","#Debtfree #HopeChicago alumni coming back to where it all started five years ago to welcome in a new class of Hope Scholars and Hope Parent Scholars. 🥹

Cycles of Hope are coming together. 

Class of 2027, welcome to the Hope Chicago family! 🧡💙

Al Raby High School, Benito Juarez Community Academy, Farragut Career Academy, Morgan Park High School, Johnson College Prep, Chicago Public Schools","https://www.facebook.com/reel/1136199462200007/","5","4","0","1"
"8/28/2026 12:30 pm","232693460103788_1506774408147851","Facebook","Post","Photo","A Better Chicago","https://www.facebook.com/324620916363212/posts/1506774408147851","Thank you Fox 32 Chicago’s Good Day Chicago for inviting A Better Chicago Portfolio Manager Jaureese Gaines and David Rojas Jr. of The Alliance 98 to discuss Every Day Counts, our chronic absenteeism initiative. 
 
We shared more about our innovative approach to reducing absenteeism citywide—and why partnering with communities is critical to making a lasting impact.

Watch the conversation to learn more about what’s driving chronic absenteeism: https://www.youtube.com/live/aCytFTZZkFE?si=6JbuhdAGaaxGbVP3&t=2364","https://www.facebook.com/photo.php?fbid=1506774391481186&set=a.321187470039890&type=3","2","2","0","0"
