"Date","Facebook Page","Followers","Net Follower Growth","Published Posts","Views","Organic Views","Paid Views","Reach","Organic Reach","Paid Reach","Engagements","Reactions","Comments","Shares","Post Link Clicks","Other Post Clicks","Page Actions","Engagement Rate (per View)","Video Views","Full Video Views","Partial Video Views","Organic Video Views","Organic Full Video Views","Organic Partial Video Views","Paid Video Views","Paid Full Video Views","Paid Partial Video Views","Click to Play Video Views","Autoplay Video Views"
"01-01-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-02-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-03-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-04-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-05-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-06-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-07-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-08-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-09-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-10-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-11-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-12-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-13-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-14-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-15-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
