"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Reels Skip Rate","Crossposted Reels Views","Facebook Reels Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Video View Time (Seconds)","Poll Votes","Tags"
"4/30/2024 12:31 pm","7191127000072265728","LinkedIn","Post","Photo","Heather Y. Anichini"," ","https://linkedin.com/feed/update/urn:li:ugcPost:7191127000072265728","This month, I celebrated 12 years of leading and learning at The Chicago Public Education Fund. I spent time reflecting on the milestones, highlights, and challenges I’ve experienced during my tenure. Among them…

1️⃣2️⃣ Programs launched. From the Summer Design Program, which started with 13 principals and now serves 85 school teams a year, to The Malott Educator Fellowship, our newest program, our pilot efforts increase principal tenure, spark #innovation, and respond to leaders’ needs.

1️⃣1️⃣ Progress Reports (plus >22 others!) to detail the impact of our work, highlight promising practices, and share lessons learned. Check out our most recent case studies here ➡ https://lnkd.in/gGdYpWYu

1️⃣0️⃣ Principal Engagement Surveys, inviting Chicago’s principals to share their perspectives and publishing the results to hold ourselves and our partners accountable. 

9️⃣ Non-interim Chicago Public Schools CEOs. I learned something different from each one of them, AND the shifts at the top reinforced my commitment to local leadership.

8️⃣ Principal Appreciation Campaigns. Throughout October, we united thousands of partners and school communities to show their #PrincipalPrideChi.

7️⃣ Local election cycles. We partnered with three governors and three mayors - and witnessed seven Local School Council installments - reinforcing the importance of local leaders who ensure stability and consistency.

6️⃣ Years left in our current funding cycle. Chicago Leads is our most ambitious yet: $50M to foster innovative leadership in >600 school communities and contribute to an enduring culture of excellence citywide.

5️⃣ Years (on average) in our investment cycles. The timing lets us step back and reflect on our goals, strategy, and outcomes, and allows great talent to seize their next big role - a reminder that you can only go as fast and as far as your team will move.

4️⃣ Investment cycles - including a COVID Comeback Fund - launched in partnership with our Board, fueled by our investors, supported by our Leadership Council and Educator Advisory Committee, and executed by our team. 

3️⃣ City Club of Chicago speeches delivered to sold-out crowds (please don’t reshare the photo of my appearance while seven months pregnant!). I’ve shared new data, called city and corporate leaders to action, and championed the importance of strong, stable school leadership.
 
2️⃣ Sabbaticals given. Last summer, our longest-standing team member took a much-deserved #sabbatical. In a few weeks, it will be my turn! While it will be my longest break from work ever (including maternity leave!), it symbolizes my team’s resilience. 

1️⃣ Sustainable mission: The Fund powers progress in Chicago’s schools by investing in the talented educators who lead them. I am perhaps most proud of our mission's clarity and sustainability. I know it has made - and will continue to make - the biggest impact on Chicago’s kids.  ",,"","","","","","","","","302","253","253","","","","","","","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/22/2024 7:51 am","7176923491013722112","LinkedIn","Post","Photo","Heather Y. Anichini"," ","https://linkedin.com/feed/update/urn:li:share:7176923491013722112","Nearly two decades (!) ago, I was emerging from a tough professional year. I took on a big project, and it *almost* went well. Then, it went *spectacularly* wrong. The follow-up meant a series of all-nighters (for real), an enormous fight with my then-boyfriend (now-husband…phew!), and what felt like maybe the end of my career in #education (at least to my young head and heart).

What got me through? 

A smart, capable, hilarious group of (mostly) women who helped me clean up the mess, who helped me smooth over the fight, and who helped me find my next gig (and then the one after that). Women who reminded me that I was defined by more than one remarkably public failure. 

In honor of the moment and #WomensHistoryMonth, I am committed to owning my soft failures - in private and in public (like this!). I’m going to use each failure as an opportunity to know better, to do better, and to BE better. And I’m going to carry them up the U, believing in the future we are shaping together. 

One thing I learned from that early failure was to recognize my patterns. For example, I know I’m headed into a downtrend when:
⬇ Many of the #management systems and processes I rely on - at work and at home - stop working. 
⬇ My penchant for action, usually such an advantage, starts (and keeps) leading to unintended outcomes. 
⬇ My judgment is just… off. 
⬇ Even my words on a page - long my most reliable mechanism for processing and powering through - seem to lose their luster. 

Of course, when things start to spiral like that, I see my worst traits magnified, too. Traits like:
☑ My perfectionism.
☑ My tendency to micromanage.
☑ My ability to say the true things in the most unfair ways. 

Plenty of Harvard research shows that women my age are firmly in the tight spot when life seems to cost a lot, just as the priceless joys of adulthood start to wear off (see the picture!). Personally, I know that I have officially entered the low point of the U. 

And yet, reflecting on the remarkable care so many people offered last year, I can see that the gap (at least for me) is much narrower than it sometimes feels. 

In honor of this month, I’m spending this weekend writing some thank you notes to fifteen of the women who are riding the U with me and whom I know I can count on even on the toughest days. I hope the notes will inspire them to thank a few of the women in their networks. 

Lila Leff, Amber Kleeschulte Richard, Melissa Zaikos, Amanda Perkins, Naya Bloom, Acasia Wilson Feinberg, Melinda Wright, Heather Harding, Chaula Gupta, Phyllis Lockett, Janice Jackson, Sonya Anderson, Anna Alvarado, Elizabeth Alvarez, and Linda Erlinger… you’ve got mail!

And, to ALL of the women in my life and in my network, I am grateful to know you and to be learning from you. Cheers to climbing that U curve again, together.",,"","","","","","","","","283","240","240","","","","","","","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/28/2025 10:03 am","7301270696607764480","LinkedIn","Post","Text","Heather Y. Anichini"," ","https://linkedin.com/feed/update/urn:li:share:7301270696607764480","Big news! 🎉

Yesterday, a long-time #CareerGoal became a reality—I’m officially part of the newest Pahara Institute cohort! 

I deeply admire the vision and approach of Kriste Dragon and her team, and every alum I know has been changed by the experience.

This wouldn't have been possible without my references - Susan Asiyanbi, Liz Thompson, and Angela Cobb. 

I’ve been lucky to learn from incredible women at every stage of my career, and this moment is no exception. Thank you, friends.

Excited for what’s ahead! #Grateful #Leadership #Growth",,"","","","","","","","","253","202","202","","","","","","","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/1/2025 3:15 pm","7323796239999782913","LinkedIn","Post","Text","Heather Y. Anichini"," ","https://linkedin.com/feed/update/urn:li:share:7323796239999782913","After nearly 24 years with Chicago Public Schools — including the last three as Chief Education Officer — Bogdana Chkoumbova is closing an extraordinary chapter of service.

I’ve had the privilege of supporting her work for more than a decade, from her time as a principal to her leadership as a Network Chief and senior district official. At every level, Bogdana led with conviction, care, and a deep belief in the power of public education.

She championed strong school leadership, student-centered decision-making, and equity, especially for diverse learners and newcomers. She helped CPS become a national model in using data to drive results, expanded access to high-quality instruction, and invested in the tools and talent that make schools thrive. Her unwavering belief in what’s possible for students — and in the educators closest to them — has made a lasting impact.

As she steps into her next chapter, and CPS prepares to welcome a new Chief Executive Officer in June, important choices lie ahead. 

In my 10+ years at The Fund, I’ve learned two things about these kinds of transitions:

✅ Principals, teachers, and students will keep showing up and doing the work.
✅ The district can make that work easier — or harder — depending on the stability it provides.

Let’s build on the strong foundation Bogdana helped create and maintain stability for the educators and young people in our schools.

Thank you, Bogdana Chkoumbova, for leading with courage and clarity. You will be missed.",,"","","","","","","","","221","201","201","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/16/2026 6:00 am","7450492160623292418","LinkedIn","Post","Photo","Heather Y. Anichini"," ","https://linkedin.com/feed/update/urn:li:ugcPost:7450492160623292418","14 years in this role today. That's hard to believe. Three things I am taking with me into the year ahead:

1️⃣ Leadership matters. 
I've learned that in schools and in organizations, leadership shapes everything. I've had the privilege of working alongside incredible educators across Chicago, and of being inspired by the way they distribute and develop leadership every day. I've also been honored to support and learn from the careers of many who started here at The Chicago Public Education Fund. They've gone on to teach, to lead their own organizations, and to champion the causes that matter most to them. Watching all of them shine is one of my purest joys.

2️⃣ Change is constant. Student experience has to be as well. 
I've watched as the demands on schools keep evolving. The set of stakeholders keeps shifting. Priorities, policies, and pressures get more complex. What I've learned to keep constant is our shared responsibility to ensure public schools help young people live into their best lives. Centering the experience of young people and their families helps keep learning the North Star.

3️⃣ When you know better, you have to do better. 
I've had 14 years of wins and made 14 years of mistakes. I've learned to apologize when I get it wrong and to ask for help. To give credit freely and whenever it is due. I've also learned that it doesn't really matter if it was a win or a loss, at least in the long run. What matters is that we use the experience to help improve personally, organizationally, and across the sector. I am excited about the years of learning ahead.

And one more thing: No matter the season or where I am, I have learned that starting my day with the sun and a walk makes me better at what I do (and maybe at who I am). My favorite work walk? Along the river to Lake Michigan and through my office door. (Photos courtesy of those AM walks.) ",,"5,732","5,732","","4,177","","","","3.42%","196","165","165","","","","","","","31","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/31/2024 1:01 pm","7257813949574717440","LinkedIn","Post","Photo","Heather Y. Anichini"," ","https://linkedin.com/feed/update/urn:li:share:7257813949574717440","Nelson Gerew, our longest-serving Fund team member, is among our most respected and admired teammates. 👏 

☑️ He is always the smartest in the room but never makes you feel silly for asking a question. 
☑️ He is often the busiest member of the team but never hesitates to listen and help. 
☑️ He never says no to a mission-centered challenge, even when you ask for something that seems impossible. 
☑️ He takes our team's development as seriously as his own.
☑️ He believes in Chicago's educators and works hard to make our city a great place to lead. 

👔 Today, we appreciated his awesomeness by donning our best khakis, fun socks, and blue button-downs en masse. 

I personally rocked the Nelson-era circa 2013 by strategically adding a matching blue tie and a Red Sox cap. ⚾ 

If you know Nelson, you know he was mildly mortified by this extreme expression of our affection. You also know we mean it when we say we used this excuse to dress up as an opportunity to honor one of Chicago’s very best.",,"","","","","","","","","194","160","160","","","","","","","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/25/2024 11:51 am","7244750338744819712","LinkedIn","Post","Link","Heather Y. Anichini"," ","https://linkedin.com/feed/update/urn:li:share:7244750338744819712","Big news: The Fund is hiring for a permanent Chief Operating Officer. The job is live now.

Some context: When I was gifted a 10-week sabbatical, we hired K. Sujata as an interim COO to ensure continuity in our operations and support for our team and culture. 

It's been a game-changer for us (and for me!). 

We're making the role permanent when Sujata's time with us ends in December. She has strengthened our organization and helped me grow as a leader, and we’re excited about this addition to the senior team!

Beyond the job description, what might make you apply: 
☑ Senior-level finance, human resources, and development work brings you joy. You thrive on leading teams to achieve ambitious operational, cultural, and fundraising goals.

☑ You see finance, IT, and HR “vendors” as partners that help small nonprofits punch above their weight.

☑ Your peers would say you like to learn from and alongside other leaders, and you have a network of people who would say you’re a strong mentor and people developer. 

☑ The idea of a kitchen full of people to laugh with at lunch makes you smile.

☑ Others see you as a no-drama warm demander and a hands-on doer, ready to work for what school leaders need.

☑ You prioritize working with people who reliably put mission above ego and genuinely appreciate and respect one another.

☑ You enjoy engaging with board members and funders who are consistently curious and share our vision for success. 

And… what might give you pause: 
☑ We’re a small, scrappy team that believes “all work is my work.” You might check in with a board member, lead a team meeting, decorate a teammate's desk, and edit a donor deck—all within your first two hours!

☑ I am a terrible mind reader. If you tell me what you need, I will get it for you. If you can’t name it, I will struggle to deliver. 

☑ I’m a fast-moving, direct leader with high expectations for myself and others. If something doesn’t meet our team’s or educators’ needs, I’ll say so and work with you to improve it.

☑ I have many ideas and need a mission-focused team that can confidently say “no” when necessary. My team often reminds me to subtract before adding; while I listen, those reminders are essential.

☑ We are a collaborative senior team. We work through our differences, not around them. 

☑ The short story: If giving or receiving real-time feedback feels difficult, our culture might be overwhelming. If you prefer making decisions independently or only with your team, we might be too small for you. And if you're beyond the stage of handling spreadsheets, editing decks, or printing nametags, you may find this role frustrating.

If you’re still reading this and interested, apply! We hope to hear from you soon! https://lnkd.in/gbTktkad. ","https://recruiting.paylocity.com/recruiting/jobs/Details/2746827/Chicago-Public-Education-Fund/Chief-Operating-Officer-COO","","","","","","","","","194","176","176","","","","","","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/16/2025 8:48 am","7384585950120775680","LinkedIn","Post","Photo","Heather Y. Anichini"," ","https://linkedin.com/feed/update/urn:li:share:7384585950120775680","💜 Thrilled to share our final Growth Leader Award Finalist, Principal Jennifer Sutton of Von Steuben High School! 💜

As a proud CPS alum and longtime leader at Von Steuben, Principal Sutton has spent nearly eight years championing inclusive decision-making and breaking down barriers for staff, students, and families.

When data revealed that historically marginalized students were underrepresented in advanced coursework, she didn’t just name the challenge—she built a plan. Today, Von Steuben celebrates record numbers of students earning Early College Credentials through Dual Credit and AP courses.

Principal Sutton also knew that stronger relationships needed to be at the heart of school culture. She launched staff affinity groups to strengthen trust and equity, restructured student grade-level meetings, introduced empathy interviews, and created student success plans to ensure that all students feel a sense of belonging and support.

For Von’s growing English Learner population, she forged a partnership with City Colleges of Chicago-Harry S Truman College, secured resources for staff to earn ESL endorsements, and recruited additional ESL-certified teachers. 

The results speak volumes:
🎓 Freshman Success soared from 3.4% → 92.4%
📘 AP exam pass rate grew from 46% → 55%
🌍 ESL-certified teachers expanded from 9 → 24 in just two years

👏 Principal Sutton’s leadership has expanded access to advanced coursework, transformed freshman success rates, and strengthened supports for English Learners—proving what’s possible when equity drives every decision. Join us in celebrating her impact! 👏",,"","","","","","","","","176","157","157","","","","","","","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/15/2026 12:00 pm","7450043345818615808","LinkedIn","Post","Photo","Heather Y. Anichini"," ","https://linkedin.com/feed/update/urn:li:share:7450043345818615808","I’ll be taking the stage in an hour at the ASU+GSV Summit to talk about how school systems are approaching AI – and what it will take to get this right.

In recent conversations with school and system leaders, one tension keeps surfacing: how to balance protecting student data and maintaining trust, while also giving educators access to tools that can meaningfully reduce administrative burden.

District decisions: What tools are approved, how they’re implemented, and what guidance is provided – have real consequences for what school leaders and educators are able to do in practice.

We’re seeing this play out in Chicago, where strong, decentralized leadership is creating space for innovation, even in low-resource environments. 

But what’s also clear is that access alone isn’t enough. Without clear guidance and support, leaders are left to navigate these tools on their own. 

When they reach their limits, which almost all new tools do, that can mean the work shuts down.

The way this evolves will depend on the choices we make now.

The way it looks in 10 years depends entirely on what we decide to protect and what we design around.

Looking forward to learning alongside Mahnaz R. Charania, PhD, Jodi Feikema, PhD, Megan Mitchell, M.Ed, Jim O'Neill, and Jason Palmer, and continuing the conversation.

More to come. #ASUGSVSummit #EdTech #AIinEducation",,"3,597","3,597","","2,646","","","","4.87%","175","172","172","","","","","","","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/15/2025 3:19 pm","7384322099726905346","LinkedIn","Post","Photo","Heather Y. Anichini"," ","https://linkedin.com/feed/update/urn:li:share:7384322099726905346","💜 Our next Growth Leader Award Finalist is Principal Barton Dassinger of Chávez Elementary School! 💜

For more than a decade, Principal Dassinger has led Chávez with a steady vision: a school where strong attendance, academic growth, and student engagement open doors for every child. In recent years, he has focused especially on helping students recover from the pandemic—doubling down on the two areas that matter most: attendance and student growth.

He made attendance a schoolwide priority, combining real-time data tracking, home visits, and joyful celebrations to keep students in class and connected. At the same time, he worked alongside teachers to strengthen literacy and math instruction—introducing high-quality curriculum, reducing class sizes, and expanding coaching and professional learning to accelerate student growth.

The results are inspiring:
 📈 Attendance rebounded from 90.3% in 2022 → 96% in 2025
 📉 Chronic absenteeism fell from 37% → 6.3% in just three years
 📘 Math proficiency rose from 84% → 91.6% and Reading from 71.5% → 85.7% on the IAR (2022–2024)

These gains extend beyond the classroom: Chávez now leads all non-selective CPS schools in 7th graders passing the Algebra Exit Exam, and student participation in summer learning is at record highs.

Principal Dassinger’s long-standing commitment to equity, innovation, and student success has transformed Chávez into a model recognized citywide.

👏 Chicago’s schools thrive because of leaders like Principal Dassinger—restoring engagement, accelerating learning, and showing what’s possible for students and families. Please join me in celebrating his impact! 👏",,"","","","","","","","","155","141","141","","","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
